year,month,week,day,building,floor,zone,direction,area,count
2020,10,43,23,mbk,005_6th,6c,entrance,lift_15,243
2020,10,43,23,mbk,005_6th,6c,entrance,lift_16,246
2020,10,43,23,mbk,005_6th,6c,entrance,lift_17,267
2020,10,43,23,mbk,005_6th,6c,entrance,parking,759
2020,10,43,23,mbk,005_6th,6c,exit,5c,1126
2020,10,43,23,mbk,005_6th,6c,exit,6b,2169
2020,10,43,23,mbk,005_6th,6c,exit,6d,784
2020,10,43,23,mbk,005_6th,6c,exit,7z,725
2020,10,43,23,mbk,005_6th,6c,exit,lift_13,164
2020,10,43,23,mbk,005_6th,6c,exit,lift_14,155
2020,10,43,23,mbk,005_6th,6c,exit,lift_15,324
2020,10,43,23,mbk,005_6th,6c,exit,lift_16,278
2020,10,43,23,mbk,005_6th,6c,exit,lift_17,205
2020,10,43,23,mbk,005_6th,6c,exit,parking,864
2020,10,43,23,mbk,005_6th,6d,entrance,5d,287
2020,10,43,23,mbk,005_6th,6d,entrance,6c,784
2020,10,43,23,mbk,005_6th,6d,entrance,7z,437
2020,10,43,23,mbk,005_6th,6d,entrance,lift_10,178
2020,10,43,23,mbk,005_6th,6d,entrance,lift_11,171
2020,10,43,23,mbk,005_6th,6d,entrance,lift_12,161
2020,10,43,23,mbk,005_6th,6d,entrance,parking,0
2020,10,43,23,mbk,005_6th,6d,exit,5d,288
2020,10,43,23,mbk,005_6th,6d,exit,6c,981
2020,10,43,23,mbk,005_6th,6d,exit,7z,385
2020,10,43,23,mbk,005_6th,6d,exit,lift_10,176
2020,10,43,23,mbk,005_6th,6d,exit,lift_11,154
2020,10,43,23,mbk,005_6th,6d,exit,lift_12,122
2020,10,43,23,mbk,005_6th,6d,exit,parking,0
2020,10,43,23,mbk,006_7th,7z,entrance,6a,1013
2020,10,43,23,mbk,006_7th,7z,entrance,6b,2147
2020,10,43,23,mbk,006_7th,7z,entrance,6c,725
2020,10,43,23,mbk,006_7th,7z,entrance,6d,385
2020,10,43,23,mbk,006_7th,7z,entrance,8z,90
2020,10,43,23,mbk,006_7th,7z,entrance,lift_10,255
2020,10,43,23,mbk,006_7th,7z,entrance,lift_11,185
2020,10,43,23,mbk,006_7th,7z,entrance,lift_12,181
2020,10,43,23,mbk,006_7th,7z,entrance,lift_13,111
2020,10,43,23,mbk,006_7th,7z,entrance,lift_14,97
2020,10,43,23,mbk,006_7th,7z,entrance,lift_15,243
2020,10,43,23,mbk,006_7th,7z,entrance,lift_16,248
2020,10,43,23,mbk,006_7th,7z,entrance,lift_17,214
2020,10,43,23,mbk,006_7th,7z,entrance,lift_18,185
2020,10,43,23,mbk,006_7th,7z,entrance,lift_19,148
2020,10,43,23,mbk,006_7th,7z,exit,6a,986
2020,10,43,23,mbk,006_7th,7z,exit,6b,1698
2020,10,43,23,mbk,006_7th,7z,exit,6c,1017
2020,10,43,23,mbk,006_7th,7z,exit,6d,437
2020,10,43,23,mbk,006_7th,7z,exit,8z,89
2020,10,43,23,mbk,006_7th,7z,exit,lift_10,219
2020,10,43,23,mbk,006_7th,7z,exit,lift_11,155
2020,10,43,23,mbk,006_7th,7z,exit,lift_12,216
2020,10,43,23,mbk,006_7th,7z,exit,lift_13,120
2020,10,43,23,mbk,006_7th,7z,exit,lift_14,135
2020,10,43,23,mbk,006_7th,7z,exit,lift_15,298
2020,10,43,23,mbk,006_7th,7z,exit,lift_16,220
